annex,ref_no,name,cas,ec_number,product_type,max_threshold,restriction_text,min_threshold,functions,warning_label,commonness_products_count,commonness_match_variant,source2_name,source2_products_count,source2_match_variant,source2_source_url,combined_commonness_score,source2_products_count_capped_for_score,match_confidence
Annex III,4,Ammonia,7664-41-7,231-635-3,All cosmetic products,6 %,,,,Above 2 %: Contains ammonia,0,,incidecoder,0,,,0.000000,0,low
Annex III,6,Chlorates of alkali metals,-,-,Toothpaste,5 %,,,,,0,,incidecoder,0,,,0.000000,0,low
Annex III,6,Chlorates of alkali metals,-,-,Cosmetic products other than toothpaste,3 %,,,,,0,,incidecoder,0,,,0.000000,0,low
Annex III,12,"Compounds or mixtures that release hydrogen peroxide, including carbamide peroxide and zinc peroxide, with the exception of the following substances in Annex II: No 1397, 1398, 1399",-,-,Skin products,4 %,,,,Contains hydrogen peroxide. Avoid contact with eyes. Rinse immediately if product comes into contact with them.,0,,incidecoder,0,,,0.000000,0,low
Annex III,12,"Compounds or mixtures that release hydrogen peroxide, including carbamide peroxide and zinc peroxide, with the exception of the following substances in Annex II: No 1397, 1398, 1399",-,-,"Oral products (including mouth rinse, tooth paste and tooth whitening or bleaching products)",0.1 %,,,,,0,,incidecoder,0,,,0.000000,0,low
Annex III,12,"Compounds or mixtures that release hydrogen peroxide, including carbamide peroxide and zinc peroxide, with the exception of the following substances in Annex II: No 1397, 1398, 1399",-,-,Cosmetic products for eyelashes,2 %,For professional use only,,,Wear suitable gloves. To be printed on the label: &#39;&#39;For professional use only. Avoid contact with eyes. Rinse eyes immediately if product comes into contact with them. Contains hydrogen peroxide.&#39;&#39;,0,,incidecoder,0,,,0.000000,0,low
Annex III,11,Dichlorophen,97-23-4,202-567-1,All cosmetic products,0.5 %,,,,Contains Dichlorophen,0,,incidecoder,0,,,0.000000,0,low
Annex III,3,Esters and alkaline salts of Oxalic acid,-,-,Hair products,5 %,For professional use only,,,For professional use only,0,,incidecoder,0,,,0.000000,0,low
Annex III,8c,"Ethanol, 2,2&#39;-[(2-nitro-1,4-phenylene)diimino]bis-(9CI)",84041-77-0,281-856-4,Hair dye substance in oxidative hair dye products,1 %,After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1.0 %Do not use with nitrosating agentsMaximum nitrosamine content: 50 μg/kgKeep in nitrite-free containers,,,"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after coloring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past.&#39;&#39;",0,,incidecoder,0,,,0.000000,0,low
Annex III,8c,"Ethanol, 2,2&#39;-[(2-nitro-1,4-phenylene)diimino]bis-(9CI)",84041-77-0,281-856-4,Hair dye substance in non-oxidative hair dye products,1.5 %,Do not use with nitrosating agentsMaximum nitrosamine content: 50 μg/kgKeep in nitrite-free containers,,,,0,,incidecoder,0,,,0.000000,0,low
Annex III,9,"Methylphenylenediamines, their N-substituted derivatives and their salts, with the exception of the substance listed under reference numbers 9a and 9b of this Annex and the substances listed under reference numbers 364, 413, 1144, 1310, 1313 and 1507 of Annex II",-,-,General use hair dye substance in oxidative hair dye products,5 %,For general useAfter mixing under oxidative conditions the maximum concentration applied to hair must not exceed 5 % calculated as free base,,,"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Contains phenylenediamines (toluenediamines). Do not use to dye eyelashes or eyebrows.&#39;&#39;",0,,incidecoder,0,,,0.000000,0,low
Annex III,9,"Methylphenylenediamines, their N-substituted derivatives and their salts, with the exception of the substance listed under reference numbers 9a and 9b of this Annex and the substances listed under reference numbers 364, 413, 1144, 1310, 1313 and 1507 of Annex II",-,-,General use hair dye substance in oxidative hair dye products,5 %,For general useAfter mixing under oxidative conditions the maximum concentration applied to hair must not exceed 5 % calculated as free base,,,"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Contains phenylenediamines (toluenediamines). Do not use to dye eyelashes or eyebrows.&#39;&#39;",0,,incidecoder,0,,,0.000000,0,low
Annex III,9,"Methylphenylenediamines, their N-substituted derivatives and their salts, with the exception of the substance listed under reference numbers 9a and 9b of this Annex and the substances listed under reference numbers 364, 413, 1144, 1310, 1313 and 1507 of Annex II",-,-,Professional use hair dye substance in oxidative hair dye products,5 %,For professional use onlyAfter mixing under oxidative conditions the maximum concentration applied to hair must not exceed 5 % calculated as free base,,,"To be printed on the label: The mixing ratio. &#39;&#39;For professional use only. Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Contains phenylenediamines (toluenediamines). Wear suitable gloves.&#39;&#39;",0,,incidecoder,0,,,0.000000,0,low
Annex III,9,"Methylphenylenediamines, their N-substituted derivatives and their salts, with the exception of the substance listed under reference numbers 9a and 9b of this Annex and the substances listed under reference numbers 364, 413, 1144, 1310, 1313 and 1507 of Annex II",-,-,Professional use hair dye substance in oxidative hair dye products,5 %,For professional use onlyAfter mixing under oxidative conditions the maximum concentration applied to hair must not exceed 5 % calculated as free base,,,"To be printed on the label: The mixing ratio. &#39;&#39;For professional use only. Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Contains phenylenediamines (toluenediamines). Wear suitable gloves.&#39;&#39;",0,,incidecoder,0,,,0.000000,0,low
