annex,ref_no,name,cas,ec_number,product_type,max_threshold,min_threshold,functions,restriction_text,warning_label
Annex III,8,Salts of N-substituted derivatives of p-Phenylenediamine,-,-,General use hair dye substance in oxidative hair dye products,3 %,,,For general useAfter mixing under oxidative conditions the maximum concentration applied to hair must not exceed 3 % calculated as free base,"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Contains phenylenediamines. Do not use to dye eyelashes or eyebrows.&#39;&#39;"
Annex III,8a,p-Phenylenediamine,106-50-3,203-404-7,General use hair dye substance in oxidative hair dye products,2 %,,,For general useAfter mixing under oxidative conditions the maximum concentration applied to hair must not exceed 2 % calculated as free base,"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Contains phenylenediamines. Do not use to dye eyelashes or eyebrows.&#39;&#39;"
Annex III,8a,p-Phenylenediamine,106-50-3,203-404-7,Professional use hair dye substance in oxidative hair dye products,2 %,,,For professional use onlyAfter mixing under oxidative conditions the maximum concentration applied to hair must not exceed 2 % calculated as free base,"To be printed on the label: The mixing ratio. &#39;&#39;For professional use only. Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Contains phenylenediamines. Wear suitable gloves.&#39;&#39;"
Annex III,8a,p-Phenylenediamine HCl,624-18-0,210-834-9,General use hair dye substance in oxidative hair dye products,2 %,,,For general useAfter mixing under oxidative conditions the maximum concentration applied to hair must not exceed 2 % calculated as free base,"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Contains phenylenediamines. Do not use to dye eyelashes or eyebrows.&#39;&#39;"
Annex III,8a,p-Phenylenediamine HCl,624-18-0,210-834-9,Professional use hair dye substance in oxidative hair dye products,2 %,,,For professional use onlyAfter mixing under oxidative conditions the maximum concentration applied to hair must not exceed 2 % calculated as free base,"To be printed on the label: The mixing ratio. &#39;&#39;For professional use only. Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Contains phenylenediamines. Wear suitable gloves.&#39;&#39;"
Annex III,8a,p-Phenylenediamine sulphate,16245-77-5,240-357-1,Professional use hair dye substance in oxidative hair dye products,2 %,,,For professional use onlyAfter mixing under oxidative conditions the maximum concentration applied to hair must not exceed 2 % calculated as free base,"To be printed on the label: The mixing ratio. &#39;&#39;For professional use only. Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Contains phenylenediamines. Wear suitable gloves.&#39;&#39;"
Annex III,8a,p-Phenylenediamine sulphate,16245-77-5,240-357-1,General use hair dye substance in oxidative hair dye products,2 %,,,For general useAfter mixing under oxidative conditions the maximum concentration applied to hair must not exceed 2 % calculated as free base,"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Contains phenylenediamines. Do not use to dye eyelashes or eyebrows.&#39;&#39;"
Annex III,8a,Salts of p-Phenylenediamine,-,-,Professional use hair dye substance in oxidative hair dye products,2 %,,,For professional use onlyAfter mixing under oxidative conditions the maximum concentration applied to hair must not exceed 2 % calculated as free base,"To be printed on the label: The mixing ratio. &#39;&#39;For professional use only. Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Contains phenylenediamines. Wear suitable gloves.&#39;&#39;"
Annex III,8a,Salts of p-Phenylenediamine,-,-,General use hair dye substance in oxidative hair dye products,2 %,,,For general useAfter mixing under oxidative conditions the maximum concentration applied to hair must not exceed 2 % calculated as free base,"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Contains phenylenediamines. Do not use to dye eyelashes or eyebrows.&#39;&#39;"
Annex III,8b,p-Phenylenediamine,106-50-3,203-404-7,Professional use cosmetic products for coloring eyelashes,2 %,,,For professional use onlyAfter mixing under oxidative conditions the maximum concentration applied to eyelashes must not exceed 2 % calculated as free base,"To be printed on the label: The mixing ratio. &#39;&#39;For professional use only. This product can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase the risk of allergy. Eyelashes shall not be coloured if the consumer: has a rash on the face or sensitive, irritated and damaged scalp, has experienced any reaction after colouring hair or eyelashes, has experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Rinse eyes immediately if product comes into contact with them. Contains phenylenediamines. Wear suitable gloves.&#39;&#39;"
Annex III,8b,p-Phenylenediamine HCl,624-18-0,210-834-9,Professional use cosmetic products for coloring eyelashes,2 %,,,For professional use onlyAfter mixing under oxidative conditions the maximum concentration applied to eyelashes must not exceed 2 % calculated as free base,"To be printed on the label: The mixing ratio. &#39;&#39;For professional use only. This product can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase the risk of allergy. Eyelashes shall not be coloured if the consumer: has a rash on the face or sensitive, irritated and damaged scalp, has experienced any reaction after colouring hair or eyelashes, has experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Rinse eyes immediately if product comes into contact with them. Contains phenylenediamines. Wear suitable gloves.&#39;&#39;"
Annex III,8b,p-Phenylenediamine sulphate,16245-77-5,240-357-1,Professional use cosmetic products for coloring eyelashes,2 %,,,For professional use onlyAfter mixing under oxidative conditions the maximum concentration applied to eyelashes must not exceed 2 % calculated as free base,"To be printed on the label: The mixing ratio. &#39;&#39;For professional use only. This product can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase the risk of allergy. Eyelashes shall not be coloured if the consumer: has a rash on the face or sensitive, irritated and damaged scalp, has experienced any reaction after colouring hair or eyelashes, has experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Rinse eyes immediately if product comes into contact with them. Contains phenylenediamines. Wear suitable gloves.&#39;&#39;"
Annex III,8b,Salts of p-Phenylenediamine,-,-,Professional use cosmetic products for coloring eyelashes,2 %,,,For professional use onlyAfter mixing under oxidative conditions the maximum concentration applied to eyelashes must not exceed 2 % calculated as free base,"To be printed on the label: The mixing ratio. &#39;&#39;For professional use only. This product can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase the risk of allergy. Eyelashes shall not be coloured if the consumer: has a rash on the face or sensitive, irritated and damaged scalp, has experienced any reaction after colouring hair or eyelashes, has experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Rinse eyes immediately if product comes into contact with them. Contains phenylenediamines. Wear suitable gloves.&#39;&#39;"
Annex III,8c,"Ethanol, 2,2&#39;-[(2-nitro-1,4-phenylene)diimino]bis-(9CI)",84041-77-0,281-856-4,Hair dye substance in oxidative hair dye products,1 %,,,After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1.0 %Do not use with nitrosating agentsMaximum nitrosamine content: 50 μg/kgKeep in nitrite-free containers,"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after coloring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past.&#39;&#39;"
Annex III,8c,"Ethanol, 2,2&#39;-[(2-nitro-1,4-phenylene)diimino]bis-(9CI)",84041-77-0,281-856-4,Hair dye substance in non-oxidative hair dye products,1.5 %,,,Do not use with nitrosating agentsMaximum nitrosamine content: 50 μg/kgKeep in nitrite-free containers,
Annex III,9,"Methylphenylenediamines, their N-substituted derivatives and their salts, with the exception of the substance listed under reference numbers 9a and 9b of this Annex and the substances listed under reference numbers 364, 413, 1144, 1310, 1313 and 1507 of Annex II",-,-,General use hair dye substance in oxidative hair dye products,5 %,,,For general useAfter mixing under oxidative conditions the maximum concentration applied to hair must not exceed 5 % calculated as free base,"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Contains phenylenediamines (toluenediamines). Do not use to dye eyelashes or eyebrows.&#39;&#39;"
Annex III,9,"Methylphenylenediamines, their N-substituted derivatives and their salts, with the exception of the substance listed under reference numbers 9a and 9b of this Annex and the substances listed under reference numbers 364, 413, 1144, 1310, 1313 and 1507 of Annex II",-,-,Professional use hair dye substance in oxidative hair dye products,5 %,,,For professional use onlyAfter mixing under oxidative conditions the maximum concentration applied to hair must not exceed 5 % calculated as free base,"To be printed on the label: The mixing ratio. &#39;&#39;For professional use only. Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Contains phenylenediamines (toluenediamines). Wear suitable gloves.&#39;&#39;"
Annex III,9a,"1,4-Benzenediamine, 2-methyl-",95-70-5,202-442-1,Professional use hair dye substance in oxidative hair dye products,2 %,,,For professional use onlyAfter mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 2.0 % (calculated as free base),"To be printed on the label: The mixing ratio. &#39;&#39;For professional use only. Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Contains phenylenediamines (toluenediamines). Wear suitable gloves.&#39;&#39;"
Annex III,9a,"1,4-Benzenediamine, 2-methyl-",95-70-5,202-442-1,General use hair dye substance in oxidative hair dye products,2 %,,,For general useAfter mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 2.0 % (calculated as free base),"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Contains phenylenediamines (toluenediamines). Do not use to dye eyelashes or eyebrows.&#39;&#39;"
