canonical_name,cas_number,ec_number,synonyms_json,status
Salts of toluidines,,,[],active
Salts of tuaminoheptane,,,[],active
Salts of xylidines,,,[],active
Sodium borate,1330-43-4,215-540-4,[],active
Sodium chlorate,7775-09-9,231-887-4,[],active
Sodium fluoride,7681-49-4,231-667-8,[],active
Sodium hydroxide,1310-73-2,215-185-5,[],active
Sodium monofluorophosphate,7631-97-2,231-552-2,[],active
Spironolactone,52-01-7,200-133-6,[],active
Substances with androgenic effect,,,[],active
Sympathicomimetic amines acting on the central nervous system,300-62-9,206-096-2,[],active
Thioglycolic acid,68-11-1,200-677-4,[],active
Thioglycolic acid esters,,,[],active
Thyropropic acid,51-26-3,,[],active
Tiratricol,51-24-1,200-086-1,[],active
Titanium dioxide,13463-67-7,236-675-5,[],active
"Toluidines, all isomers",26915-12-8,248-105-2,[],active
Tosylchloramide sodium (INN),127-65-1,204-854-7,[],active
Trichloroacetic acid,76-03-9,200-927-2,[],active
Tuaminoheptane,123-82-0,204-655-5,[],active
"Xylidines, all isomers",1300-73-8,215-091-4,[],active
Zinc acetate,557-34-6,209-170-2,[],active
Zinc chloride,7646-85-7,231-592-0,[],active
Zinc gluconate,4468-02-4,224-736-9,[],active
Zoxazolamine,61-80-3,200-519-4,[],active
