jurisdiction,product_category,product_subtype,ingredient_lookup_kind,ingredient_lookup_value,rule_type,max_value,max_unit,basis,condition_text,exceptions_text,source_title,source_url,source_clause,effective_from,effective_to,rule_version,last_reviewed_at,status
UK,all,,canonical_name,"2,4-Diaminophenoxyethanol HCl",max_concentration,2,%,w/w,Max concentration rule (bootstrap from Annex III top-ranked list; conservative minimum across contexts). After mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 2.0 % (as hydrochloride),,EU Annex III (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex III,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
EU,all,,canonical_name,"2,5-Diaminotoluene sulphate",max_concentration,2,%,w/w,Max concentration rule (bootstrap from Annex III top-ranked list; conservative minimum across contexts). For professional use onlyAfter mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 2.0 % (calculated as free base),,EU Annex III (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex III,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
UK,all,,canonical_name,"2,5-Diaminotoluene sulphate",max_concentration,2,%,w/w,Max concentration rule (bootstrap from Annex III top-ranked list; conservative minimum across contexts). For professional use onlyAfter mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 2.0 % (calculated as free base),,EU Annex III (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex III,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
EU,all,,canonical_name,"2-Amino-1,2-bis(4-methoxyphenyl)ethanol",prohibited,,,,Prohibited ingredient (bootstrap live dataset from Annex II top-ranked list).,,EU Annex II (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex II,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
UK,all,,canonical_name,"2-Amino-1,2-bis(4-methoxyphenyl)ethanol",prohibited,,,,Prohibited ingredient (bootstrap live dataset from Annex II top-ranked list).,,EU Annex II (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex II,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
EU,all,,canonical_name,2-Amino-4-hydroxyethylaminoanisole sulfate,max_concentration,1.5,%,w/w,Max concentration rule (bootstrap from Annex III top-ranked list; conservative minimum across contexts). After mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 1.5 % (as sulphate)Do not use with nitrosating agentsMaximum nitrosamine content: 50 μg /kgKeep in nitrite-free containersFor professional use only,,EU Annex III (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex III,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
UK,all,,canonical_name,2-Amino-4-hydroxyethylaminoanisole sulfate,max_concentration,1.5,%,w/w,Max concentration rule (bootstrap from Annex III top-ranked list; conservative minimum across contexts). After mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 1.5 % (as sulphate)Do not use with nitrosating agentsMaximum nitrosamine content: 50 μg /kgKeep in nitrite-free containersFor professional use only,,EU Annex III (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex III,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
EU,all,,canonical_name,2-Amino-6-chloro-4-nitrophenol,max_concentration,2,%,w/w,Max concentration rule (bootstrap from Annex III top-ranked list; conservative minimum across contexts). After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 2.0 %,,EU Annex III (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex III,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
UK,all,,canonical_name,2-Amino-6-chloro-4-nitrophenol,max_concentration,2,%,w/w,Max concentration rule (bootstrap from Annex III top-ranked list; conservative minimum across contexts). After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 2.0 %,,EU Annex III (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex III,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
EU,all,,canonical_name,4-Amino-3-nitrophenol,max_concentration,1,%,w/w,Max concentration rule (bootstrap from Annex III top-ranked list; conservative minimum across contexts). After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1.5 %,,EU Annex III (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex III,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
