"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  US$","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  US$","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
16.,"Miracle Plus Arnica Cream Extra Strength Bruise Relief Lotion For Bruising And Swelling On Skin | Arnica Gel, Vitamin K Cream, Skin Care | Moisturizing Bruise Formula With Horse Chestnut, 2-Pack","B071169NKS","https://www.amazon.com/dp/B071169NKS?psc=1","https://m.media-amazon.com/images/I/71shhqmmkgL._SX679_PIbundle-2,TopRight,0,0_AA679SH20_.jpg","Miracle Plus",27.99,"2,366",51,"N/A","45,234.27","1,431.82",194,"8,943","US",8.63,1,4.2,"10,336",9,76,"Pure Valley","Health & Household","Large Standard-Size","FBA","6.81 x 1.77 x 5.24 in",0.6,"N/A","Jul 10, 2018",,"No",91,"Pure Valley"
37.,"Miracle Plus Arnica Cream Bruise Relief Lotion For Bruising And Swelling On Skin | Arnica Montana Extra Strength Vitamin K Cream | Skin Care Body & Face Moisturizer With Horse Chestnut, 11.75 Fl Oz","B0B6Q8BSXM","https://www.amazon.com/dp/B0B6Q8BSXM?psc=1","https://m.media-amazon.com/images/I/61dHZrvh3iL._SX679_.jpg","Miracle Plus",34.99,"2,366",36,"N/A","45,234.27","1,243.8",197,"8,943","US",10.09,2,4.2,"10,336",9,105,"Pure Valley","Health & Household","Large Standard-Size","FBA","8.98 x 2.13 x 2.13 in",0.86,"N/A","Mar 31, 2023",,"No",35,"Pure Valley"
62.,"Boiron Arnicare Bruise Gel for Pain, Inflammation or Swelling, Soreness, and Discoloration - Non-greasy and Fragrance-Free - 4.2 oz","B0FX31M22J","https://www.amazon.com/dp/B0FX31M22J?psc=1","https://m.media-amazon.com/images/I/71smKUUyGbL._SX679_.jpg","Boiron",14.28,"2,130","2,130","N/A","30,409.91","30,388.48",131,"12,072","AMZ",6.3,1,4.8,76,9,28,"Amazon","Health & Household","Large Standard-Size","AMZ","6.70 x 1.65 x 2.21 in",0.38,"N/A","Oct 20, 2025",,"No",4,"Amazon"
28.,"Arnica Bruise Cream Extra Strength: Fast Healing Arnica Cream for Bruising Swelling Thin Skin-Enhanced Recovery Vitamin K Creams With Arnica Montana, VK, C&E– Soothing Hydrating for senior, Adult, Kid","B0FV5N4155","https://www.amazon.com/dp/B0FV5N4155?psc=1","https://m.media-amazon.com/images/I/713lkNvxH2L._SY450_.jpg","Dr. Luke",24.99,"2,085","2,085","1,000","43,724.83","43,717.42",200,"21,908","US",3.95,1,4.7,143,9,63,"DRLUKESTORE","Beauty & Personal Care","Large Standard-Size","FBA","3.03 x 2.60 x 2.91 in",0.37,"N/A","Oct 12, 2025",,"No",4,"DRLUKESTORE"
61.,"Boiron Arnica Bruise - Arnica Montana 30c for Relief of Pain, Swelling, and Discoloration from Bruises - 3 Count (240 Pellets)","B0B7TNMH82","https://www.amazon.com/dp/B0B7TNMH82?psc=1","https://m.media-amazon.com/images/I/81Kn6l215QL._AC_SY355_.jpg","Boiron",15.6,"1,638","1,638","N/A","26,052.76","26,047.35",126,"24,665","AMZ",6.07,4,4.7,835,10,31,"Amazon","Health & Household","Large Standard-Size","AMZ","4.84 x 0.87 x 3.62 in",0.07,"N/A","Jul 27, 2022",,"No",43,"Amazon"
44.,"Dulàc – Arnica Cream 1.7 Fl Oz with Organic Arnica Montana Extracts Natural Soothing & Skin Care Cream","B01FI4DQ4E","https://www.amazon.com/dp/B01FI4DQ4E?psc=1","https://m.media-amazon.com/images/I/716yzFt2IgL._AC_SX569_.jpg","DULÀC FARMACEUTICI 1982",9.5,"1,289",492,"N/A","18,875.05","4,670.37",102,"19,115","IT",3.91,1,4.6,"13,909",7,"N/A","Dulac","Health & Household","Large Standard-Size","FBA","5.79 x 1.26 x 2.05 in",0.13,"N/A","Sep 3, 2016",,"No",113,"Dulac"
69.,"Boiron Arnicare Bruise for Relief of Pain or Swelling from Injuries, and Discoloration of Bruises - 60 Tablets","B0B7TW96T6","https://www.amazon.com/dp/B0B7TW96T6?psc=1","https://m.media-amazon.com/images/I/71I-xrsF85L._AC_SX522_.jpg","Boiron",10.59,"1,131","1,131","N/A","12,010.79","12,010.18",110,"26,016","AMZ",5.32,2,4.6,498,10,24,"Amazon","Health & Household","Large Standard-Size","AMZ","3.94 x 1.10 x 3.31 in",0.07,"N/A","Jul 27, 2022",,"No",43,"Amazon"
9.,"Arnica Bruise Cream Extra Strength: Fast Healing for Bruising and Swelling on Thin & Sensitive Skin - Enriched with Arnica Montana & Vitamins K, C & E - Daily Care for Teens, Adults & Seniors 4oz","B0FV52WV8Y","https://www.amazon.com/dp/B0FV52WV8Y?psc=1","https://m.media-amazon.com/images/I/6159hX1tDeL._SX425_.jpg","MURASAKI BEAUTY",25.99,"1,021","1,021",900,"26,545.87","26,535.52",195,"17,340","US",7.85,1,4.5,147,8,30,"MURASAKI BEAUTY Store","Beauty & Personal Care","Large Standard-Size","FBA","2.91 x 2.52 x 2.91 in",0.42,"N/A","Sep 15, 2025",,"No",5,"MURASAKI BEAUTY Store"
51.,"Boiron Arnicare Bruise Gel for Pain, Inflammation or Swelling, Soreness, and Discoloration - Non-greasy and Fragrance-Free - 2.6 oz","B0G15RRJJ6","https://www.amazon.com/dp/B0G15RRJJ6?psc=1","https://m.media-amazon.com/images/I/71z1IlLOB0L._SY450_.jpg","Boiron",8.48,934,934,"N/A","7,923.55","7,914.08",131,"36,846","AMZ",3.83,1,4.5,30,9,16,"Amazon","Health & Household","Large Standard-Size","AMZ","5.79 x 1.57 x 2.17 in",0.21,"N/A","Nov 6, 2025",,"No",3,"Amazon"
57.,"5kind Extra Strong Arnica Cream for Bruising and Swelling 10.1 Fl Oz - Bruise Cream Extra Strength Fast Healing Thin Skin - High Concentration Arnica Montana Extract for Bruises - Natural Formula","B0D5J3DDSR","https://www.amazon.com/dp/B0D5J3DDSR?psc=1","https://m.media-amazon.com/images/I/71GTHeiacOL._AC_SY355_.jpg","5kind clinical skincare",27.97,928,739,"N/A","24,054.96","20,655.71",195,"32,221","GB",10.02,1,4.4,795,8,20,"5kind Clinical Skincare","Health & Household","Large Standard-Size","FBA","3.46 x 2.91 x 3.35 in",0.75,"N/A","Oct 9, 2024",,"No",16,"5kind Clinical Skincare"
63.,"Arnica 35 Arnica Body Massage Gel – Water-Based Cosmetic Massage Gel with Arnica Montana, Fast-Absorbing Lightweight Texture, Non-Greasy Feel, Dermatologically Tested, 16.9 fl oz","B0C69NFK45","https://www.amazon.com/dp/B0C69NFK45?psc=1","https://m.media-amazon.com/images/I/71hp7tD8G3L._AC_SX466_.jpg","Arnica",30.9,797,797,"N/A","24,614.36","24,606.23",178,"39,213","IT",9.93,1,4.4,"2,485",8,46,"Dulac","Health & Household","Large Standard-Size","FBA","4.06 x 3.54 x 3.90 in",1.23,"N/A","Jul 25, 2023",,"No",31,"Dulac"
33.,"Arnica Bruise Cream Extra-Strength: Fast-Acting for Bruising & Swelling on Thin Skin - Advanced Formula with Arnica Montana Vitamin K C & E - Soothing Hydrating for Face and Body (4 Fl Oz (Pack of 1))","B0FJCC1GY6","https://www.amazon.com/dp/B0FJCC1GY6?psc=1","https://m.media-amazon.com/images/I/61iCiVr7TXL._SX679_.jpg","Jardient",26.95,768,768,600,"20,703.27","20,703.12",200,"28,552","KR",8.19,1,4.3,109,8,29,"Lushoraa","Beauty & Personal Care","Large Standard-Size","FBA","4.72 x 2.56 x 2.95 in",0.43,"N/A","Jul 22, 2025",,"No",7,"Lushoraa"
22.,"Hermon Arnica Bruise Cream: Arnica Montana with Vitamins K, C & E–Hydrating Moisturizer for Face 4 oz","B0F7HZ1MPL","https://www.amazon.com/dp/B0F7HZ1MPL?psc=1","https://m.media-amazon.com/images/I/71eFzOkNvGL._SY450_.jpg","Hermon",23.99,686,178,300,"15,540.86","4,257.73",101,"28,657","US",7.55,2,4.3,498,5,35,"GENESISKINGDOM","Beauty & Personal Care","Large Standard-Size","FBA","2.95 x 2.44 x 2.91 in",0.42,"N/A","May 5, 2025",,"No",9,"GENESISKINGDOM"
