Detergents Regulation - Exempted Surfactants & Phosphate Restrictions
Note: Group entries are split in different rows.
Export date: 23/02/2026 15:09:48
Header

"Substance Identifier"	""	



""	""	""	""	""	""	""	""	""	""	""	""	
"Name"	"EC / List no"	"CAS no"	"Name"	"CAS"	"Product type"	"Maximum Threshold"	"Effective Date"	"Expressed As"	"Qualifier(s)"	"Restriction(s)"	"Annex No."	
"Alcohols, Guerbet, C16-20, ethoxylated, n-butyl ether (7-8EO)"	"604-616-6"	"147993-59-7"	"Alcohols, Guerbet, C16-20, ethoxylated, n-butyl ether (7-8EO)"	"147993-59-7"	""	""	""	""	""	"May be used for the following industrial applications until 27 June 2019: bottle washing, cleaning-in-place, and metal cleaning"	"V LIST OF SURFACTANTS THAT HAVE OBTAINED A DEROGATION"	
"Phosphates"	"-"	"-"	"Phosphates"	""	"Consumer laundry detergents"	"0.5 g per recommended dosage"	"06/30/2013"	"As Total Phosphorus"	"in the recommended quantity of the detergent to be used in the main cycle of the washing process for a standard washing machine load as defined in section B of Annex VII for water of hard water hardness for ‘normally soiled’ fabrics in the case of heavy-duty detergents, for ‘lightly soiled’ fabrics in the case of detergents for delicate fabrics"	""	"VIa LIMITATIONS ON THE CONTENT OF PHOSPHATES AND OF OTHER PHOSPHORUS COMPOUNDS"	
"Phosphates"	"-"	"-"	"Phosphates"	""	"Consumer automatic dishwasher detergents"	"0.3 g per recommended dosage"	"01/01/2017"	"As Total Phosphorus"	"in the standard dosage as defined in section B of Annex VII"	""	"VIa LIMITATIONS ON THE CONTENT OF PHOSPHATES AND OF OTHER PHOSPHORUS COMPOUNDS"	
"Phosphorus compounds"	"-"	"-"	"Phosphorus compounds"	""	"Consumer laundry detergents"	"0.5 g per recommended dosage"	"06/30/2013"	"As Total Phosphorus"	"in the recommended quantity of the detergent to be used in the main cycle of the washing process for a standard washing machine load as defined in section B of Annex VII for water of hard water hardness for ‘normally soiled’ fabrics in the case of heavy-duty detergents, for ‘lightly soiled’ fabrics in the case of detergents for delicate fabrics"	""	"VIa LIMITATIONS ON THE CONTENT OF PHOSPHATES AND OF OTHER PHOSPHORUS COMPOUNDS"	
"Phosphorus compounds"	"-"	"-"	"Phosphorus compounds"	""	"Consumer automatic dishwasher detergents"	"0.3 g per recommended dosage"	"01/01/2017"	"As Total Phosphorus"	"in the standard dosage as defined in section B of Annex VII"	""	"VIa LIMITATIONS ON THE CONTENT OF PHOSPHATES AND OF OTHER PHOSPHORUS COMPOUNDS"	
