Toy Safety Directive - Substances Restricted in Toys
Note: Group entries are split in different rows.
Export date: 23/02/2026 15:10:15
Header

"Substance Identifier"	""	



""	""	""	""	""	""	""	""	""	""	""	""	
"Lead, dross, bismuth-rich"	"273-792-0"	"69029-46-5"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Lead, isononanoate isooctanoate complexes, basic"	"284-573-4"	"84929-94-2"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Plumbane dichlorodiethyl-"	"621-088-2"	"13231-90-8"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Chromic acid lead salt with lead molybdate"	"-"	"12709-98-7"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Myristic acid, lead salt"	"243-788-3"	"20403-41-2"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Plumbane, chlorotripropyl-"	"-"	"1520-71-4"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Neodecanoic acid, lead salt, basic"	"291-667-9"	"90459-25-9"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Lead sulphate"	"231-198-9"	"7446-14-2"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Chloric acid, lead(2+) salt, monohydrate"	"-"	"13510-96-8"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Lead distearate"	"214-005-2"	"1072-35-1"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Acetic acid, capric acid, caprylic acid, coconut oil, hydrogenated tallow fatty acids, calcium-lead complex salt"	"-"	"69103-04-4"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Dioxobis(stearato)dilead"	"260-043-8"	"56189-09-4"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Isooctanoic acid, lead salt"	"264-931-6"	"64504-12-7"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Lead(2+) tellurium tetraoxide"	"237-573-3"	"13845-35-7"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Phosphoric acid, lead(2+) salt (2:1)"	"-"	"16180-04-4"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Lead dibutanolate"	"265-457-2"	"65119-94-0"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Lead oxide sulfate"	"234-853-7"	"12036-76-9"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Lead bis(2-ethylhexanoate)"	"206-107-0"	"301-08-6"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Calcines, lead ore conc."	"273-815-4"	"69029-74-9"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Fatty acids, C8-10, lead salts"	"292-965-1"	"91031-61-7"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Dodecanoic acid, lead salt, basic"	"291-195-3"	"90342-56-6"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Tungstate (WO42-), calcium (1:1), (T-4)-, lead-doped"	"272-255-8"	"68784-53-2"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Lead hexafluorosilicate"	"247-278-1"	"25808-74-6"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Trinitrophloroglucinol, lead salt"	"257-135-5"	"51325-28-1"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Hexadecanoic acid, lead salt, basic"	"291-388-2"	"90388-09-3"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"lead(II) perchlorate trihydrate"	"638-754-3"	"13453-62-8"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Dilead oxide"	"235-036-8"	"12059-89-1"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Lead bis(12-hydroxystearate)"	"261-238-0"	"58405-97-3"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Lead icosanoate"	"304-439-1"	"94266-32-7"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Residues, copper-iron-lead-nickel matte, sulfuric acid-insol."	"310-050-8"	"102110-49-6"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Lead(2+) neononanoate"	"299-747-5"	"93894-48-5"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Lead isophthalate"	"254-128-9"	"38787-87-0"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Lead, C4-10-fatty acid naphthenate complexes"	"281-936-9"	"84067-00-5"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Lead germanate"	"235-666-3"	"12435-47-1"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Leach residues, precious metal recovery lead refining"	"273-813-3"	"69029-72-7"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Lead bis(dimethyldithiocarbamate)"	"242-748-2"	"19010-66-3"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Lead(2+) acrylate"	"212-760-2"	"867-47-0"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Lead 5-nitroterephthalate"	"262-308-3"	"60580-60-1"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Lead(2+) 4,4'-isopropylidenebisphenolate"	"299-255-0"	"93858-23-2"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Fatty acids, C16-18, lead salts"	"292-966-7"	"91031-62-8"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Lead dichlorite"	"-"	"13453-57-1"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Lead silicate"	"245-090-4"	"22569-74-0"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Lead, naphthenate neodecanoate complexes"	"291-567-5"	"90431-43-9"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"(isodecanoato-O)(isooctanoato-O)lead"	"304-158-4"	"94246-85-2"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Phenol, tetrapropylene-, lead(2+) salt"	"-"	"122332-23-4"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Dilead chromate dihydroxide"	"234-628-3"	"12017-86-6"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Lead bis(3,5,5-trimethylhexanoate)"	"252-746-3"	"35837-70-8"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Leach residues, copper-lead"	"305-420-0"	"94551-72-1"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Neononanoic acid, lead salt, basic"	"291-668-4"	"90459-26-0"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Plumbane, (4-azidobutyl)triphenyl-"	"-"	"16035-39-5"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Lead, C5-23-branched carboxylate octanoate complexes"	"281-935-3"	"84066-99-9"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Silicic acid (H6Si2O7), barium magnesium strontium salt, lead-doped"	"272-269-4"	"68784-74-7"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Flue dust, copper-lead blast furnace, cadmium-indium-enriched"	"309-645-5"	"100656-55-1"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Lead(2+) 2,4-dinitroresorcinolate"	"236-498-3"	"13406-89-8"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Tetraethyllead"	"201-075-4"	"78-00-2"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Lead, C5-23-branched carboxylate C4-10-fatty acid naphthenate complexes"	"280-541-9"	"83711-45-9"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Fatty acids, coco, lead salts"	"295-368-4"	"92044-89-8"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Lead metaborate"	"238-762-3"	"14720-53-7"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Fatty acids, C18-24, lead salts"	"283-982-5"	"84776-54-5"	"Lead and its compounds"	""	"Scraped-off toy material"	"As lead"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"23 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
