Toy Safety Directive - Substances Restricted in Toys
Note: Group entries are split in different rows.
Export date: 23/02/2026 15:10:15
Header

"Substance Identifier"	""	



""	""	""	""	""	""	""	""	""	""	""	""	
"Barium and its compounds"	"-"	"-"	"Barium and its compounds"	""	"Scraped-off toy material"	"as Barium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"18750 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Barium and its compounds"	"-"	"-"	"Barium and its compounds"	""	"Liquid or sticky toy material"	"as Barium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"375 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Bisphenol A"	"201-245-8"	"80-05-7"	"Bisphenol A"	"80-05-7"	"Toys intended for use by children under 36 months or in other toys intended to be placed in the mouth"	""	""	""	"Allowed to use if comply with migration limit in accordance with the methods laid down in EN 71-10:2005 and EN 71-11:2005"	"0.04 mg/l"	"Appendix C to Annex II"	
"Boron and its compounds"	"-"	"-"	"Boron and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As boron"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1200 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Boron and its compounds"	"-"	"-"	"Boron and its compounds"	""	"Liquid or sticky toy material"	"As boron"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"300 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Boron and its compounds"	"-"	"-"	"Boron and its compounds"	""	"Scraped-off toy material"	"As boron"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"15000 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Cadmium and its compounds"	"-"	"-"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Cadmium iodide"	"232-223-6"	"7790-80-9"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Cadmium selenate"	"237-481-3"	"13814-62-5"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"(R)-12-hydroxyoleic acid, barium cadmium salt"	"275-370-1"	"71411-66-0"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Cadmium diisobutyl dimaleate"	"306-446-5"	"97259-82-0"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Barium tetrachlorocadmate(2-)"	"308-988-8"	"99587-10-7"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Cadmium bis(azanide)"	"-"	"22750-53-4"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Cadmium selenide"	"215-148-3"	"1306-24-7"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Cadmium o-toluate"	"257-860-7"	"52337-78-7"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Cadmium hydrogen phosphate"	"237-920-9"	"14067-62-0"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Benzenediazonium, 4-(phenylamino)-, sulfate (1:1), polymer with formaldehyde, cadmium chloride complexes"	"-"	"68441-39-4"	"Cadmium and its compounds"	""	"Dry, brittle, powder-like or pliable toy material"	"As cadmium"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"1.3 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
