Cosmetic Products Regulation, Annex V - Allowed Preservatives
Note: Group entries are split in different rows.
Export date: 23/02/2026 15:08:50
Header

"Substance Identifier"	""	



""	""	""	""	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Conditions"	"Conditions"	"Conditions"	"Conditions"	"Conditions"	"Conditions"	""	""	
"Name"	"EC / List no"	"CAS no"	"Ref No."	"Name"	"EC Number"	"CAS"	"Product type, body parts"	"Function(s)"	"Restriction(s)"	"Maximum Threshold"	"Qualifier(s)"	"Expressed As"	"Warning Label"	"Notes"	
"1-Hydroxy-4-methyl-6-(2,4,4-trimethylpentyl) 2-pyridon"	"-"	"50650-76-5"	"35"	"1-Hydroxy-4-methyl-6-(2,4,4-trimethylpentyl) 2-pyridon"	""	"50650-76-5"	"Rinse-off products"	"Preservative"	"Maximum concentration value is given for &#39;1-Hydroxy-4-methyl-6-(2,4,4-trimethylpentyl) 2-pyridon and its monoethanolamine salt&#39;"	"1 %"	""	""	""	""	
"1-Hydroxy-4-methyl-6-(2,4,4-trimethylpentyl) 2-pyridon"	"-"	"50650-76-5"	"35"	"1-Hydroxy-4-methyl-6-(2,4,4-trimethylpentyl) 2-pyridon"	""	"50650-76-5"	"Cosmetic products other than rinse-off products"	"Preservative"	"Maximum concentration value is given for &#39;1-Hydroxy-4-methyl-6-(2,4,4-trimethylpentyl) 2-pyridon and its monoethanolamine salt&#39;"	"0.5 %"	""	""	""	""	
"1-Hydroxy-4-methyl-6-(2,4,4-trimethylpentyl) 2-pyridon, monoethanolamine salt"	"272-574-2"	"68890-66-4"	"35"	"1-Hydroxy-4-methyl-6-(2,4,4-trimethylpentyl) 2-pyridon, monoethanolamine salt"	"272-574-2"	"68890-66-4"	"Rinse-off products"	"Preservative"	"Maximum concentration value is given for &#39;1-Hydroxy-4-methyl-6-(2,4,4-trimethylpentyl) 2-pyridon and its monoethanolamine salt&#39;"	"1 %"	""	""	""	""	
"1-Hydroxy-4-methyl-6-(2,4,4-trimethylpentyl) 2-pyridon, monoethanolamine salt"	"272-574-2"	"68890-66-4"	"35"	"1-Hydroxy-4-methyl-6-(2,4,4-trimethylpentyl) 2-pyridon, monoethanolamine salt"	"272-574-2"	"68890-66-4"	"Cosmetic products other than rinse-off products"	"Preservative"	"Maximum concentration value is given for &#39;1-Hydroxy-4-methyl-6-(2,4,4-trimethylpentyl) 2-pyridon and its monoethanolamine salt&#39;"	"0.5 %"	""	""	""	""	
"1-Phenoxypropan-2-ol"	"212-222-7"	"770-35-4"	"43"	"1-Phenoxypropan-2-ol"	"212-222-7"	"770-35-4"	"Rinse-off products"	"Preservative"	"Only for rinse-off products"	"1 %"	""	""	""	"For use other than as a preservative, see Annex III, No. 54"	
"10-Undecenoic acid, calcium salt"	"215-331-8"	"1322-14-1"	"18"	"10-Undecenoic acid, calcium salt"	"215-331-8"	"1322-14-1"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Undec-10-enoic acid and its salts&#39;"	"0.2 %"	""	"As acid"	""	""	
"10-Undecenoic, sodium salt"	"222-264-8"	"3398-33-2"	"18"	"10-Undecenoic, sodium salt"	"222-264-8"	"3398-33-2"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Undec-10-enoic acid and its salts&#39;"	"0.2 %"	""	"As acid"	""	""	
"2,2'-Methylenebis(6-bromo-4-chlorophenol)"	"239-446-8"	"15435-29-7"	"37"	"2,2&#39;-Methylenebis(6-bromo-4-chlorophenol)"	"239-446-8"	"15435-29-7"	"All cosmetic products"	"Preservative"	""	"0.1 %"	""	""	""	""	
"2,4-Dichlorobenzyl alcohol"	"217-210-5"	"1777-82-8"	"22"	"2,4-Dichlorobenzyl alcohol"	"217-210-5"	"1777-82-8"	"All cosmetic products"	"Preservative"	""	"0.15 %"	""	""	""	""	
"2-Methyl-2H-isothiazol-3-one"	"220-239-6"	"2682-20-4"	"57"	"2-Methyl-2H-isothiazol-3-one"	"220-239-6"	"2682-20-4"	"Rinse-off products"	"Preservative"	""	"0.0015 %"	""	""	""	"Methylisothiazolinone is also regulated in entry 39 in a mixture with Methylchloroisothiazolinone. The two entries are mutually exclusive: the use of the mixture of Methylchloroisothiazolinone (and) Methylisothiazolinone is incompatible with the use of Methylisothiazolinone alone in the same product"	
"2-Phenoxyethanol"	"204-589-7"	"122-99-6"	"29"	"2-Phenoxyethanol"	"204-589-7"	"122-99-6"	"All cosmetic products"	"Preservative"	""	"1 %"	""	""	""	""	
"3,3'-Dibromo-4,4'-hexamethylenedioxydi-benzamidine"	"-"	"93856-82-7"	"15"	"3,3&#39;-Dibromo-4,4&#39;-hexamethylenedioxydi-benzamidine"	""	"93856-82-7"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;3,3&#39;-Dibromo-4,4&#39;-hexamethylenedioxydi-benzamidine and its salts&#39;"	"0.1 %"	""	""	""	""	
"3,3'-Dibromo-4,4'-hexamethylenedioxydi-benzamidine isethionate"	"299-116-4"	"93856-83-8"	"15"	"3,3&#39;-Dibromo-4,4&#39;-hexamethylenedioxydi-benzamidine isethionate"	"299-116-4"	"93856-83-8"	"All cosmetic products"	"Preservative"	""	"0.1 %"	""	""	""	""	
"3-(p-Chlorophenoxy)-propane-1,2-diol"	"203-192-6"	"104-29-0"	"50"	"3-(p-Chlorophenoxy)-propane-1,2-diol"	"203-192-6"	"104-29-0"	"All cosmetic products"	"Preservative"	""	"0.3 %"	""	""	""	""	
"3-Acetyl-6-methylpyran-2,4(3H)-dione"	"208-293-9"	"520-45-6"	"13"	"3-Acetyl-6-methylpyran-2,4(3H)-dione"	"208-293-9"	"520-45-6"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;3-Acetyl-6-methylpyran-2,4 (3H)-dione and its salts&#39;Not to be used in aerosol dispensers (sprays)"	"0.6 %"	""	"As acid"	""	""	
"3-Iodo-2-propynylbutylcarbamate"	"259-627-5"	"55406-53-6"	"56"	"3-Iodo-2-propynylbutylcarbamate"	"259-627-5"	"55406-53-6"	"Leave-on products except oral and lip products, body lotion and body cream, products for children under 3 years of age"	"Preservative"	"Not to be used in oral and lip productsNot to be used in body lotion and body creamNot to be used in products for children under 3 years of age"	"0.01 %"	""	""	"Not to be used for children under 3 years of age."	"Wording of conditions of use and warnings is used solely for products which might be used for children under 3 years of ageConcerns any product aimed to be applied on a large part of the body"	
"3-Iodo-2-propynylbutylcarbamate"	"259-627-5"	"55406-53-6"	"56"	"3-Iodo-2-propynylbutylcarbamate"	"259-627-5"	"55406-53-6"	"Deodorants/anti-perspirants"	"Preservative"	"Not to be used in oral and lip productsNot to be used in products for children under 3 years of age"	"0.0075 %"	""	""	"Not to be used for children under 3 years of age."	"Wording of conditions of use and warnings is used solely for products which might be used for children under 3 years of age"	
