Annex II, Sec III - Allergenic Fragrances Banned/Restricted in Toys
Note: Group entries are split in different rows.
Export date: 23/02/2026 15:10:32
Header

"Substance Identifier"	""	



""	""	""	""	""	""	""	""	""	
"Damascenone;Rose ketone-4"	"245-833-2"	"23696-85-7"	"Any toys"	"23696-85-7"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Rose ketone-4Damascenone"	""	""	
"delta-Damascone"	"260-709-8"	"57378-68-4"	"Any toys"	"57378-68-4"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"delta-Damascone"	""	""	
"Diethyl maleate"	"205-451-9"	"141-05-9"	"Any toys"	"141-05-9"	""	"Diethyl maleate"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kg"	
"Dihydrocoumarin"	"204-354-9"	"119-84-6"	"Any toys"	"119-84-6"	""	"Dihydrocoumarin"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kg"	
"Dimethyl citraconate"	"-"	"617-54-9"	"Any toys"	"617-54-9"	""	"Dimethyl citraconate"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kg"	
"Diphenylamine"	"204-539-4"	"122-39-4"	"Any toys"	"122-39-4"	""	"Diphenylamine"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kg"	
"DMBCA;Dimethylbenzyl carbinyl acetate"	"205-781-3"	"151-05-3"	"Any toys"	"151-05-3"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Dimethylbenzyl carbinyl acetateDMBCA"	""	""	
"Essential oil of Citrus aurantium var. amara or Bigaradia (Rutaceae) obtained from the flowers by steam distillation"	"639-655-8"	"8016-38-4"	"Any toys"	"8016-38-4"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Citrus aurantium amara flower oil"	""	""	
"Ethyl acrylate"	"205-438-8"	"140-88-5"	"Any toys"	"140-88-5"	""	"Ethyl acrylate"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kg"	
"Eucalyptus globulus oil"	"616-775-9"	"8000-48-4"	"Any toys"	"8000-48-4"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Eucalyptus spp. leaf oil"	""	""	
"Eucalyptus spp. leaf extract"	"296-357-7"	"92502-70-0"	"Any toys"	"92502-70-0"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Eucalyptus spp. leaf extract"	""	""	
"Eugenia caryophyllus leaf/flower oil"	"616-772-2"	"8000-34-8"	"Any toys"	"8000-34-8"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Eugenia caryophyllus leaf/flower oil"	""	""	
"Eugenol"	"202-589-1"	"97-53-0"	"Any toys except olfactory board games, cosmetic kits and gustative games"	"97-53-0"	""	"Eugenol"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kgSee point 12 of Part III on Chemical Properties to Annex II of Directive 2009/48/EC for specific conditions of use in olfactory board games, cosmetic kits and gustative games"	
"Farnesol"	"225-004-1"	"4602-84-0"	"Any toys except olfactory board games, cosmetic kits and gustative games"	"4602-84-0"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Farnesol"	""	"See point 12 of Part III on Chemical Properties to Annex II of Directive 2009/48/EC for specific conditions of use in olfactory board games, cosmetic kits and gustative games"	
"Fig leaf, fresh and preparations"	"639-678-3"	"68916-52-9"	"Any toys"	"68916-52-9"	""	"Fig leaf, fresh and preparations"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kg"	
"Geraniol"	"203-377-1"	"106-24-1"	"Any toys except olfactory board games, cosmetic kits and gustative games"	"106-24-1"	""	"Geraniol"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kgSee point 12 of Part III on Chemical Properties to Annex II of Directive 2009/48/EC for specific conditions of use in olfactory board games, cosmetic kits and gustative games"	
"Geranium oil"	"616-774-3"	"8000-46-2"	"Any toys"	"8000-46-2"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Pelargonium graveolens oil"	""	""	
"Hexadecanolactone"	"203-662-0"	"109-29-5"	"Any toys"	"109-29-5"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Hexadecanolactone"	""	""	
"Hexahydrocoumarin"	"211-851-4"	"700-82-3"	"Any toys"	"700-82-3"	""	"Hexahydrocoumarin"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kg"	
"Hexamethylindanopyran"	"214-946-9"	"1222-05-5"	"Any toys"	"1222-05-5"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Hexamethylindanopyran"	""	""	
"Hexyl cinnamaldehyde"	"202-983-3"	"101-86-0"	"Any toys except olfactory board games, cosmetic kits and gustative games"	"101-86-0"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Hexyl cinnamaldehyde"	""	"See point 12 of Part III on Chemical Properties to Annex II of Directive 2009/48/EC for specific conditions of use in olfactory board games, cosmetic kits and gustative games"	
"Hydroabietyl alcohol"	"236-476-3"	"13393-93-6"	"Any toys"	"13393-93-6"	""	"Hydroabietyl alcohol"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kg"	
"Hydroxy-citronellal"	"203-518-7"	"107-75-5"	"Any toys except olfactory board games, cosmetic kits and gustative games"	"107-75-5"	""	"Hydroxy-citronellal"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kgSee point 12 of Part III on Chemical Properties to Annex II of Directive 2009/48/EC for specific conditions of use in olfactory board games, cosmetic kits and gustative games"	
"Hydroxy-methylpentylcyclohexenecarboxaldehyde"	"250-863-4"	"31906-04-4"	"Any toys except olfactory board games, cosmetic kits and gustative games"	"31906-04-4"	""	"Hydroxy-methylpentylcyclohexenecarboxaldehyde"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kgSee point 12 of Part III on Chemical Properties to Annex II of Directive 2009/48/EC for specific conditions of use in olfactory board games, cosmetic kits and gustative games"	
"Isoeugenol"	"202-590-7"	"97-54-1"	"Any toys except olfactory board games, cosmetic kits and gustative games"	"97-54-1"	""	"Isoeugenol"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kgSee point 12 of Part III on Chemical Properties to Annex II of Directive 2009/48/EC for specific conditions of use in olfactory board games, cosmetic kits and gustative games"	
"Jasmin oil;Jasmin, Jasminum grandiflorum extract"	"283-993-5"	"8022-96-6;84776-64-7"	"Any toys"	"84776-64-7"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Jasmin, Jasminum grandiflorum extract"	""	""	
"Jasmin, Jasminum officinale extract"	"289-960-1"	"90045-94-6"	"Any toys"	"90045-94-6"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Jasmin, Jasminum officinale extract"	""	""	
"Juniperus virginiana extract"	"285-370-3"	"85085-41-2"	"Any toys"	"85085-41-2"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Juniperus virginiana extract"	""	""	
"L-Citronellol"	"231-415-7"	"7540-51-4"	"Any toys except olfactory board games, cosmetic kits and gustative games"	"7540-51-4"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"L-Citronellol"	""	"See point 12 of Part III on Chemical Properties to Annex II of Directive 2009/48/EC for specific conditions of use in olfactory board games, cosmetic kits and gustative games"	
"Laurus nobilis fruit oil;Laurus nobilis leaf oil;Laurus nobilis seed oil"	"283-272-5"	"8002-41-3;8007-48-5;84603-73-6"	"Any toys"	"84603-73-6"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Laurus nobilis seed oil"	""	""	
"Laurus nobilis fruit oil;Laurus nobilis leaf oil;Laurus nobilis seed oil"	"283-272-5"	"8002-41-3;8007-48-5;84603-73-6"	"Any toys"	"8007-48-5"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Laurus nobilis fruit oil"	""	""	
"Lavandula hybrida"	"294-470-6"	"91722-69-9"	"Any toys"	"91722-69-9"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Lavandula hybrida"	""	""	
"Lavandula officinalis"	"283-994-0"	"84776-65-8"	"Any toys"	"84776-65-8"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Lavandula officinalis"	""	""	
"Levomenthol"	"218-690-9"	"2216-51-5"	"Any toys"	"2216-51-5"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Levomenthol"	""	""	
"Lilial"	"201-289-8"	"80-54-6"	"Any toys except olfactory board games, cosmetic kits and gustative games"	"80-54-6"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Lilial"	""	"See point 12 of Part III on Chemical Properties to Annex II of Directive 2009/48/EC for specific conditions of use in olfactory board games, cosmetic kits and gustative games"	
"Linalool"	"201-134-4"	"78-70-6"	"Any toys except olfactory board games, cosmetic kits and gustative games"	"78-70-6"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Linalool"	""	"See point 12 of Part III on Chemical Properties to Annex II of Directive 2009/48/EC for specific conditions of use in olfactory board games, cosmetic kits and gustative games"	
"Linalyl acetate"	"204-116-4"	"115-95-7"	"Any toys"	"115-95-7"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Linalyl acetate"	""	""	
"Majantol;Trimethyl benzenepropanol"	"403-140-4"	"103694-68-4"	"Any toys"	"103694-68-4"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"MajantolTrimethyl benzenepropanol"	""	""	
"Mentha spicata"	"283-656-2"	"84696-51-5"	"Any toys"	"84696-51-5"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Mentha spicata"	""	""	
"Menthol"	"216-074-4"	"1490-04-6"	"Any toys"	"1490-04-6"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Menthol"	""	""	
"Menthol racemic"	"201-939-0"	"89-78-1"	"Any toys"	"89-78-1"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Menthol racemic"	""	""	
"Methyl heptine carbonate"	"203-836-6"	"111-12-6"	"Any toys"	"111-12-6"	""	"Methyl heptine carbonate"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kg"	
"Methyl salicylate"	"204-317-7"	"119-36-8"	"Any toys"	"119-36-8"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Methyl salicylate"	""	""	
"Methyl trans-2-butenoate"	"210-793-7"	"623-43-8"	"Any toys"	"623-43-8"	""	"Methyl trans-2-butenoate"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kg"	
"Narcissus spp."	"290-086-8"	"90064-25-8"	"Any toys"	"90064-25-8"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Narcissus spp."	""	""	
"Oakmoss extracts"	"289-861-3"	"90028-68-5"	"Any toys except olfactory board games, cosmetic kits and gustative games"	"90028-68-5"	""	"Oakmoss extracts"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kgSee point 12 of Part III on Chemical Properties to Annex II of Directive 2009/48/EC for specific conditions of use in olfactory board games, cosmetic kits and gustative games"	
"Oils, cedarwood"	"616-769-6"	"8000-27-9"	"Any toys"	"8000-27-9"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Cedrus atlantica oilCedarwood oil"	""	""	
"Oils, cedarwood"	"616-769-6"	"8000-27-9"	"Any toys"	"8000-27-9"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Cedarwood oilJuniperus virginiana oil"	""	""	
"Oils, jasmine"	"617-015-9"	"8022-96-6"	"Any toys"	"8022-96-6"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Jasmin oil"	""	""	
"Oils, laurel"	"616-794-2"	"8002-41-3"	"Any toys"	"8002-41-3"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Laurus nobilis leaf oil"	""	""	
"Oils, lemongrass"	"616-903-3"	"8007-02-1"	"Any toys"	"8007-02-1"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Cymbopogon schoenanthus oil"	""	""	
"Oils, sandalwood"	"616-898-8"	"8006-87-9"	"Any toys"	"8006-87-9"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Santalum album oil"	""	""	
"Oils, ylang-ylang"	"616-893-0"	"8006-81-3"	"Any toys"	"8006-81-3"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Ylang-ylang oil"	""	""	
"Patchouly oil"	"616-944-7"	"8014-09-3"	"Any toys"	"8014-09-3"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Pogostemon cablin oil"	""	""	
"Pelargonium graveolens extract;Pelargonium graveolens oil"	"290-140-0"	"8000-46-2;90082-51-2"	"Any toys"	"90082-51-2"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Pelargonium graveolens extract"	""	""	
"Peppermint extract"	"282-015-4"	"84082-70-2"	"Any toys"	"84082-70-2"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Peppermint extract"	""	""	
"Peppermint oil"	"616-900-7"	"8006-90-4"	"Any toys"	"8006-90-4"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Peppermint oil"	""	""	
"Peru balsam, crude (Exudation of Myroxylon pereirae (Royle) Klotzsch)"	"232-352-8"	"8007-00-9"	"Any toys"	"8007-00-9"	""	"Peru balsam, crude (Exudation of Myroxylon pereirae (Royle) Klotzsch)"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kg"	
"Pinus mugo"	"290-163-6"	"90082-72-7"	"Any toys"	"90082-72-7"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Pinus mugo"	""	""	
"Pinus pumila"	"307-681-6"	"97676-05-6"	"Any toys"	"97676-05-6"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Pinus pumila"	""	""	
"Pogostemon cablin extract;Pogostemon cablin oil"	"282-493-4"	"8014-09-3;84238-39-1"	"Any toys"	"84238-39-1"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Pogostemon cablin extract"	""	""	
"Propylidene phthalide"	"241-402-8"	"17369-59-4"	"Any toys"	"17369-59-4"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Propylidene phthalide"	""	""	
"Rose flower oil;Rose, Rosa centifolia extract"	"283-289-8"	"8007-01-0;84604-12-6"	"Any toys"	"84604-12-6"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Rose, Rosa centifolia extract"	""	""	
"ROSE HIPS, EXTRACT [ROSA CANINA L.; R. GALLICA L.; R. CONDITA SCOP.; R. RUGOSA THUNB.; AND OTHER ROSA SPP.]-HIPBERRIES, EXTRACT"	"616-902-8"	"8007-01-0"	"Any toys"	"8007-01-0"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Rose flower oil"	""	""	
"Rose, Rosa canina extract"	"283-652-0"	"84696-47-9"	"Any toys"	"84696-47-9"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Rose, Rosa canina extract"	""	""	
"Rose, Rosa damascena extract"	"290-260-3"	"90106-38-0"	"Any toys"	"90106-38-0"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Rose, Rosa damascena extract"	""	""	
"Rose, Rosa gallica extract"	"283-290-3"	"84604-13-7"	"Any toys"	"84604-13-7"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Rose, Rosa gallica extract"	""	""	
"Rose, Rosa rugosa extract"	"296-213-3"	"92347-25-6"	"Any toys"	"92347-25-6"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Rose, Rosa rugosa extract"	""	""	
"Rose, Rose alba extract"	"297-122-1"	"93334-48-6"	"Any toys"	"93334-48-6"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Rose, Rose alba extract"	""	""	
"Salicylaldehyde"	"201-961-0"	"90-02-8"	"Any toys"	"90-02-8"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Salicylaldehyde"	""	""	
"Santalum album extract;Santalum album oil"	"284-111-1"	"8006-87-9;84787-70-2"	"Any toys"	"84787-70-2"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Santalum album extract"	""	""	
"Sclareol"	"208-194-0"	"515-03-7"	"Any toys"	"515-03-7"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Sclareol"	""	""	
"Terpineol (mixture of isomers)"	"232-268-1"	"8000-41-7"	"Any toys"	"8000-41-7"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Terpineol (mixture of isomers)"	""	""	
"Terpinolene"	"209-578-0"	"586-62-9"	"Any toys"	"586-62-9"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Terpinolene"	""	""	
"trans-2-Heptenal"	"242-608-0"	"18829-55-5"	"Any toys"	"18829-55-5"	""	"trans-2-Heptenal"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kg"	
"trans-2-Hexenal diethyl acetal"	"266-989-8"	"67746-30-9"	"Any toys"	"67746-30-9"	""	"trans-2-Hexenal diethyl acetal"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kg"	
"trans-2-Hexenal dimethyl acetal"	"242-204-4"	"18318-83-7"	"Any toys"	"18318-83-7"	""	"trans-2-Hexenal dimethyl acetal"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kg"	
"trans-Anethole"	"224-052-0"	"4180-23-8"	"Any toys"	"4180-23-8"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"trans-Anethole"	""	""	
"Treemoss extracts"	"289-860-8"	"90028-67-4"	"Any toys except olfactory board games, cosmetic kits and gustative games"	"90028-67-4"	""	"Treemoss extracts"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kgSee point 12 of Part III on Chemical Properties to Annex II of Directive 2009/48/EC for specific conditions of use in olfactory board games, cosmetic kits and gustative games"	
"Turpentine"	"232-688-5"	"9005-90-7"	"Any toys"	"9005-90-7"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Turpentine"	""	""	
"Turpentine (oil)"	"-"	"8052-14-0"	"Any toys"	"8052-14-0"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Turpentine (oil)"	""	""	
"Turpentine oil"	"232-350-7"	"8006-64-2"	"Any toys"	"8006-64-2"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Turpentine oil"	""	""	
"Vanillin"	"204-465-2"	"121-33-5"	"Any toys"	"121-33-5"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Vanillin"	""	""	
"Verbena oil (Lippia citriodora Kunth)"	"676-658-3"	"8024-12-2"	"Any toys"	"8024-12-2"	""	"Verbena oil (Lippia citriodora Kunth)"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kg"	
