Annex II, Sec III - Allergenic Fragrances Banned/Restricted in Toys
Note: Group entries are split in different rows.
Export date: 23/02/2026 15:10:32
Header

"Substance Identifier"	""	



""	""	""	""	""	""	""	""	""	
"3-Chloro-2,6-Dihydroxy-4-methyl-benzaldehyde;Chloroatranol"	"801-751-4"	"57074-21-2"	"Any toys"	"57074-21-2"	""	"3-Chloro-2,6-Dihydroxy-4-methyl-benzaldehydeChloroatranol"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kg"	
"3-Methyl-4-(2,6,6-trimethyl-2-cyclohexen-1-yl)-3-buten-2-one"	"204-846-3"	"127-51-5"	"Any toys except olfactory board games, cosmetic kits and gustative games"	"127-51-5"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"3-Methyl-4-(2,6,6-trimethyl-2-cyclohexen-1-yl)-3-buten-2-one"	""	"See point 12 of Part III on Chemical Properties to Annex II of Directive 2009/48/EC for specific conditions of use in olfactory board games, cosmetic kits and gustative games"	
"3-Methyl-5-(2,2,3-trimethyl-3-cyclopenten-1-yl)pent-4-en-2-ol"	"267-140-4"	"67801-20-1"	"Any toys"	"67801-20-1"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"3-Methyl-5-(2,2,3-trimethyl-3-cyclopenten-1-yl)pent-4-en-2-ol"	""	""	
"4,6-Dimethyl-8-tert-butylcoumarin"	"241-827-9"	"17874-34-9"	"Any toys"	"17874-34-9"	""	"4,6-Dimethyl-8-tert-butylcoumarin"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kg"	
"4-(p-Methoxyphenyl)-3-butene-2-one"	"213-404-9"	"943-88-4"	"Any toys"	"943-88-4"	""	"4-(p-Methoxyphenyl)-3-butene-2-one"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kg"	
"4-Ethoxy-phenol"	"210-748-1"	"622-62-8"	"Any toys"	"622-62-8"	""	"4-Ethoxy-phenol"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kg"	
"4-Methoxyphenol"	"205-769-8"	"150-76-5"	"Any toys"	"150-76-5"	""	"4-Methoxyphenol"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kg"	
"4-Phenyl-3-buten-2-one"	"204-555-1"	"122-57-6"	"Any toys"	"122-57-6"	""	"4-Phenyl-3-buten-2-one"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kg"	
"4-tert-Butyl-3-methoxy-2,6-dinitrotoluene;Musk ambrette"	"201-493-7"	"83-66-9"	"Any toys"	"83-66-9"	""	"4-tert-Butyl-3-methoxy-2,6-dinitrotolueneMusk ambrette"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kg"	
"4-tert-Butylphenol"	"202-679-0"	"98-54-4"	"Any toys"	"98-54-4"	""	"4-tert-Butylphenol"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kg"	
