Detergents Regulation - Content Labelling
Note: Group entries are split in different rows.
Export date: 23/02/2026 15:09:35
Header

"Substance Identifier"	""	



"TRIIODOBENZENE"	"-"	"61878-55-5"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1-bromo-4-iodobenzene"	"209-662-7"	"589-87-7"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1,2-diiodobenzene"	"210-425-5"	"615-42-9"	"Halogenated hydrocarbons"	""	"0.2 %"	
"2-bromo-1,4-difluorobenzene"	"206-920-0"	"399-94-0"	"Halogenated hydrocarbons"	""	"0.2 %"	
"Pentachlorobenzene"	"210-172-0"	"608-93-5"	"Halogenated hydrocarbons"	""	"0.2 %"	
"m-diiodobenzene"	"210-921-1"	"626-00-6"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1-chloro-4-fluorobenzene"	"206-521-1"	"352-33-0"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1,2,4-trichloro-5-fluorobenzene"	"206-921-6"	"400-04-4"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1,3,5-tribromobenzene"	"210-947-3"	"626-39-1"	"Halogenated hydrocarbons"	""	"0.2 %"	
"Benzene, 1,2,4-triiodo-"	"-"	"615-68-9"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1,3-dichlorobenzene"	"208-792-1"	"541-73-1"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1-bromo-2,6-difluorobenzene"	"264-750-2"	"64248-56-2"	"Halogenated hydrocarbons"	""	"0.2 %"	
"Trichlorobenzene"	"234-413-4"	"12002-48-1"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1,3-difluorobenzene"	"206-746-5"	"372-18-9"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1,3,5-trichlorobenzene"	"203-608-6"	"108-70-3"	"Halogenated hydrocarbons"	""	"0.2 %"	
"Bromobenzene"	"203-623-8"	"108-86-1"	"Halogenated hydrocarbons"	""	"0.2 %"	
"Pentafluorobenzene"	"206-658-7"	"363-72-4"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1-bromo-3,5-dichlorobenzene"	"243-270-7"	"19752-55-7"	"Halogenated hydrocarbons"	""	"0.2 %"	
"Iodobenzene"	"209-719-6"	"591-50-4"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1,2,4,5-tetrafluorobenzene"	"206-319-3"	"327-54-8"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1,2,4,5-tetrachlorobenzene"	"202-466-2"	"95-94-3"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1,4-diiodobenzene"	"210-842-2"	"624-38-4"	"Halogenated hydrocarbons"	""	"0.2 %"	
"Benzene, trifluoro-"	"-"	"30179-54-5"	"Halogenated hydrocarbons"	""	"0.2 %"	
"Benzene, chloro derivs."	"270-127-6"	"68411-45-0"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1-chloro-2-fluorobenzene"	"206-476-8"	"348-51-6"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1,2,3,4(or 1,2,4,5)-tetrachlorobenzene"	"283-805-1"	"84713-12-2"	"Halogenated hydrocarbons"	""	"0.2 %"	
"2-bromo-1,4-dichlorobenzene"	"215-859-9"	"1435-50-3"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1,2-dibromo-3,4,5,6-tetrafluorobenzene"	"212-564-7"	"827-08-7"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1-chloro-3-iodobenzene"	"210-920-6"	"625-99-0"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1-bromo-3-iodobenzene"	"209-703-9"	"591-18-4"	"Halogenated hydrocarbons"	""	"0.2 %"	
"2,4-dichloro-1-iodobenzene"	"249-938-4"	"29898-32-6"	"Halogenated hydrocarbons"	""	"0.2 %"	
"Periodobenzene"	"210-169-4"	"608-74-2"	"Halogenated hydrocarbons"	""	"0.2 %"	
"Pentafluoroiodobenzene"	"212-565-2"	"827-15-6"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1,2,4-trichlorobenzene"	"204-428-0"	"120-82-1"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1,2-dichloro-3-fluorobenzene"	"670-879-9"	"36556-50-0"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1-chloro-4-iodobenzene"	"211-305-5"	"637-87-6"	"Halogenated hydrocarbons"	""	"0.2 %"	
"2,4-difluoro-1-iodobenzene"	"629-507-0"	"2265-93-2"	"Halogenated hydrocarbons"	""	"0.2 %"	
"Fluorobenzene"	"207-321-7"	"462-06-6"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1,4-dibromobenzene"	"203-390-2"	"106-37-6"	"Halogenated hydrocarbons"	""	"0.2 %"	
"4-fluoroiodobenzene"	"206-522-7"	"352-34-1"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1-chloro-3-fluorobenzene"	"210-919-0"	"625-98-9"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1-bromo-2,3,4,5-tetrafluorobenzene"	"214-048-7"	"1074-91-5"	"Halogenated hydrocarbons"	""	"0.2 %"	
"2,4-dibromo-1-fluorobenzene"	"215-860-4"	"1435-53-6"	"Halogenated hydrocarbons"	""	"0.2 %"	
