General Product Safety Regulation – Hazardous Substances
Note: Group entries are split in different rows.
Export date: 23/02/2026 15:07:04


"Substance Identifier"	""	



"(2-butyl-5-nitrobenzofuran-3-yl)[4-(3-dibutylaminopropoxy)phenyl]methanone"	"444-800-1"	"141645-23-0"	""	"yes"	""	""	""	""	
"(2-chloroethyl)(3-hydroxypropyl)ammonium chloride"	"429-740-6"	"40722-80-3"	""	"yes"	""	"Annex 17 Appendix 2; Annex 17 Appendix 4"	""	""	
"(2-ethylhexanoato-O)(isodecanoato-O)nickel"	"284-351-7"	"84852-39-1"	""	"yes"	""	"Annex 17 Appendix 1; Annex 17 Appendix 6"	""	""	
"(2-ethylhexanoato-O)(isononanoato-O)nickel"	"287-470-2"	"85508-45-8"	""	"yes"	""	"Annex 17 Appendix 1; Annex 17 Appendix 6"	""	""	
"(2-hydroxy-3-(3,4-dimethyl-9-oxo-10-thiaanthracen-2-yloxy)propyl)trimethylammonium chloride"	"402-200-7"	"103430-24-6"	""	"yes"	""	""	""	""	
"(2-methylpropyl)lithium; isobutyllithium"	"440-620-2"	"920-36-5"	""	"yes"	""	""	""	""	
"(2E)-2-cyano-N-[(ethylamino)carbonyl]-2-(methoxyimino) acetamide"	"-"	"166900-80-7"	""	"yes"	""	""	""	""	
"(2E)-3-phenylprop-2-enal"	"604-377-8"	"14371-10-9"	""	"yes"	""	""	""	""	
"(2R)-2-amino-2-phenylacetamide"	"420-370-0"	"6485-67-2"	""	"yes"	""	""	""	""	
"(2R)-butan-2-amine"	"236-232-6"	"13250-12-9"	""	"yes"	""	""	""	""	
"(2R*, 3S*)-2-(2,4-difluorophenyl)-3-(5-fluoro-4-pyrimidinyl)-1-(1H-1,2,4-triazol-1-yl)butan-2-ol (1R)-10-camphorsulfonate"	"427-100-0"	"-"	""	"yes"	""	""	""	""	
"(2R, 3S, 4R, 5R, 7R, 9R, 10R,11S, 12S, 13R)-10-[(4-dimethylamino-3-hydroxy-6-methyltetrahydropyran-2-yl)oxy]-2-ethyl-3,4,12-trihydroxy-9-methoxy-3,5,7,9,11,13-hexamethyl-6,14-dioxo-1-oxacyclotetradecane"	"433-820-6"	"118058-74-5"	""	"yes"	""	""	""	""	
"(2R,3R)-3-((R)-1-(tert-butyldimethylsiloxy)ethyl)-4-oxoazetidin-2-yl acetate"	"408-050-9"	"76855-69-1"	""	"yes"	""	""	""	""	
"(2R,3S)-N-(3-amino-2-hydroxy-4-phenylbutyl)-N-isobutyl-4-nitrobenzenesulfonamide hydrochloride"	"425-260-6"	"244634-31-9"	""	"yes"	""	""	""	""	
"(2R,6aS,12aS)-1,2,6,6a,12,12a-hexahydro-2-isopropenyl-8,9-dimethoxychromeno[3,4-b]furo[2,3-h]chromen-6-one, rotenone"	"201-501-9"	"83-79-4"	""	"yes"	""	""	""	""	
"(2RS)-2-[4-(4-chlorophenoxy)-2-(trifluoromethyl)phenyl]-1-(1H-1,2,4-triazol-1-yl)propan-2-ol; mefentrifluconazole"	"822-682-6"	"1417782-03-6"	""	"yes"	""	""	""	""	
"(2RS,3RS)-3-(2-Chlorophenyl)-2-(4-fluorophenyl)-[(l H-1,2,4-triazol-1-yl)-methyl]oxirane;epoxiconazole (ISO); (2RS,3SR)-3-(2-chlorophenyl)-2-(4-fluorophenyl)-[(1H-1,2,4-triazol-1-yl)methyl]oxirane"	"406-850-2"	"106325-08-0;133855-98-8"	""	"yes"	""	"Annex 17 Appendix 6"	""	""	
"(2RS,3RS)-3-(2-Chlorophenyl)-2-(4-fluorophenyl)-[(l H-1,2,4-triazol-1-yl)-methyl]oxirane;epoxiconazole (ISO); (2RS,3SR)-3-(2-chlorophenyl)-2-(4-fluorophenyl)-[(1H-1,2,4-triazol-1-yl)methyl]oxirane"	"406-850-2"	"106325-08-0;133855-98-8"	""	""	""	"Annex 17 Appendix 6"	""	""	
"(2S)-5-(benzyloxy)-2-(1,3-dioxo-1,3-dihydro-2H-isoindol-2-yl)-5-oxopentanoic acid"	"443-560-5"	"88784-33-2"	""	"yes"	""	""	""	""	
"(2S)-butan-2-amine"	"208-164-7"	"513-49-5"	""	"yes"	""	""	""	""	
"(2S, 5R)-6,6-dibromo-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid 4,4-dioxide"	"427-200-4"	"76646-91-8"	""	"yes"	""	""	""	""	
"(3'-carboxymethyl-5-(2-(3-ethyl-3H-benzothiazol-2-ylidene)-1-methyl-ethylidene)-4,4'-dioxo-2'-thioxo-(2,5')bithiazolidinyliden-3-yl)-acetic acid"	"422-240-9"	"166596-68-5"	""	"yes"	""	""	""	""	
"(3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl) silanetriol and any of its mono-, di- or tri-O-(alkyl) derivatives (TDFAs)"	"-"	"-"	""	""	""	"Annex 17"	""	""	
"(3-(4-(2-(butyl-(4-methylphenylsulfonyl)amino)phenylthio)5-oxo-1-(2,4,6-trichlorophenyl)-4,5-dihydro-1H-pyrazole-3-ylamino)-4-chlorophenyl)tetradecanamide; N-[3-({4-[(2-{]butyl[}(4methylphenyl)sulfonyl{]amino[}phenyl)thio{]-5-oxo-1-(2,4,6-trichlorophenyl)-4,5-dihydro-1H-pyrazol-3yl[}amino)-4-chlorophenyl]tetradecanamide"	"432-970-1"	"217324-98-6"	""	"yes"	""	""	""	""	
"(3-aminophenyl)pyridin-3-ylmethanone"	"428-230-0"	"79568-06-2"	""	"yes"	""	""	""	""	
"(3-chloro-2-hydroxypropyl); trimethylammonium chloride ... %"	"222-048-3"	"3327-22-8"	""	"yes"	""	""	""	""	
"(3-chlorophenyl)-(4-methoxy-3-nitrophenyl)methanone"	"423-290-4"	"66938-41-8"	""	"yes"	""	""	""	""	
"(3aS,5S,6R,7aR,7bS,9aS,10R,12aS,12bS)-10-[(2S,3R,4R,5R)-3,4-)-3,4-dihydroxy-5,6-dimethylheptan-2-yl]-5,6-dihydroxy-7a,9a- dimethylhexadecahydro-3H-benzo[c]indeno [5,4-e]oxepin-3-one; 24-epibrassinolide"	"639-387-1"	"78821-43-9"	""	"yes"	""	""	""	""	
"(3E)-dec-3-en-2-one"	"701-234-2"	"18402-84-1"	""	"yes"	""	""	""	""	
"(3S, 4aS, 8aS)-N-tert-butyldecahydro-3-isoquinolinecarboxamide"	"420-380-5"	"136465-81-1"	""	"yes"	""	""	""	""	
"(3S, 6R, 9S, 12R, 15S, 18R, 21S,24R)-6,18-dibenzyl-3,9,15,21-tetraisobutyl-4,10,12,16,22,24-hexamethyl-1,7,13,19-tetraoxa-4,10,16,22-tetraazacyclo-tetracosane-2,5,8,11,14,17,20,23-octaone"	"444-350-6"	"133413-70-4"	""	"yes"	""	""	""	""	
"(3S,4aS,8aS)-2-[(2R,3S)-3-amino-2-hydroxy-4-phenylbutyl]-N-tert-butyldecahydroisoquinoline-3-carboxamide"	"430-230-0"	"136522-17-3"	""	"yes"	""	""	""	""	
"(3S,4S)-3-hexyl-4-[(R)-2-hydroxytridecyl]-2-oxetanone"	"418-650-2"	"104872-06-2"	""	"yes"	""	""	""	""	
"(3S-trans)-phenyl-3-[(1,3-benzodioxol-5-yloxy)methyl]-4-(4-fluorophenyl)-1-piperidinecarboxylate"	"430-510-2"	"253768-88-6"	""	"yes"	""	""	""	""	
"(3β, 5α, 6β)-3-(acetyloxy)-5-bromo-6-hydroxy-androstan-17-one"	"419-790-7"	"4229-69-0"	""	"yes"	""	""	""	""	
"(4-(1-methylethyl)phenyl)-(4-methylphenyl)iodonium tetrakis(pentafluorophenyl)borate(1-)"	"422-960-3"	"178233-72-2"	""	"yes"	""	""	""	""	
"(4-(4-(4-dimethylaminobenzyliden-1-yl)-3-methyl-5-oxo-2-pyrazolin-1-yl)benzoic acid"	"410-430-4"	"117573-89-4"	""	"yes"	""	""	""	""	
"(4-(6-diethylamino-2-methylpyridin-3-yl)imino-4,5-dihydro-3-methyl-1-(4-methylphenyl)-1H-pyrazol-5-one"	"427-070-9"	"-"	""	"yes"	""	""	""	""	
"(4-aminophenyl)-N-methylmethylensulfonamide hydrochloride"	"406-010-5"	"88918-84-7"	""	"yes"	""	""	""	""	
"(4-ammonio-m-tolyl)ethyl(2-hydroxyethyl)ammonium sulphate; 4-(N-ethyl-N-2-hydroxyethyl)-2-methylphenylenediamine sulphate"	"247-162-0"	"25646-77-9"	""	"yes"	""	""	""	""	
"(4-ethoxyphenyl)(3-(4-fluoro-3-phenoxyphenyl)propyl)dimethylsilane"	"405-020-7"	"105024-66-6"	""	"yes"	""	"Annex 17 Appendix 6"	""	""	
"(4-hydrazinophenyl)-N-methylmethanesulfonamide hydrochloride"	"406-090-1"	"81880-96-8"	""	"yes"	""	""	""	""	
"(4-methylphenyl)mesitylene sulfonate"	"407-530-5"	"67811-06-7"	""	"yes"	""	""	""	""	
"(4-phenylbutyl)phosphinic acid"	"420-450-5"	"86552-32-1"	""	"yes"	""	""	""	""	
"(4aR*,8aR*)-4a,5,9,10,11,12-hexahydro-3-methoxy-11-methyl-6H-benzofuro[3a,3,2-ef][2]benzazepin-6-one"	"428-690-2"	"1668-86-6"	""	"yes"	""	""	""	""	
"(4aS-cis-)-6-benzyl-octahydropyrrolo[3.4-b]pyridine"	"425-930-8"	"151213-39-7"	""	"yes"	""	""	""	""	
"(5-chloro-2-methoxy-4-methyl-3-pyridyl) (4,5,6-trimethoxy-o-tolyl)methanone; pyriofenone"	"692-456-8"	"688046-61-9"	""	"yes"	""	""	""	""	
"(6-(4-hydroxy-3-(2-methoxyphenylazo)-2-sulfonato-7-naphthylamino)-1,3,5-triazin-2,4-diyl)bis[(amino-1-methylethyl)ammonium] formate"	"402-060-7"	"108225-03-2"	""	"yes"	""	"Annex 17 Appendix 2"	""	""	
"(6R-trans)-1-((7-ammonio-2- carboxylato-8-oxo-5-thia-1- azabicyclo-[4.2.0]oct-2-en-3- yl)methyl)pyridinium iodide"	"423-260-0"	"100988-63-4"	""	"yes"	""	""	""	""	
"(6β)-6,19-epoxyandrost-4-ene-3,17-dione"	"433-490-3"	"6563-83-3"	""	"yes"	""	""	""	""	
"(9S)-9-amino-9-deoxyerythromycin"	"406-790-7"	"26116-56-3"	""	"yes"	""	""	""	""	
"(benzothiazol-2-ylthio)methyl thiocyanate; TCMTB"	"244-445-0"	"21564-17-0"	""	"yes"	""	""	""	""	
"(benzothiazol-2-ylthio)succinic acid"	"401-450-4"	"95154-01-1"	""	"yes"	""	""	""	""	
"(C16 or C18-n-alkyl)(C16 or C18-n-alkyl)ammonium 2-((C16 or C18-n-alkyl)(C16 or C18-n-alkyl)carbamoyl)benzenesulphonate"	"402-460-1"	"-"	""	"yes"	""	""	""	""	
"(chloromethyl)bis(4-fluorophenyl)methylsilane"	"401-200-4"	"85491-26-5"	""	"yes"	""	""	""	""	
"(chlorophenyl)(chlorotolyl)methane, mixed isomers"	"400-140-6"	"85705-05-1"	""	"yes"	""	""	""	""	
"(E)-(7R,11R)-3,7,11,15-tetramethylhexadec-2-ene-1-ol"	"616-221-6"	"7541-49-3"	""	"yes"	""	""	""	""	
"(E)-2-butenal; (E)-crotonaldehyde"	"204-647-1"	"123-73-9"	""	"yes"	""	""	""	""	
"(E)-2-methoxy-4-(prop-1-enyl)phenol"	"227-678-2"	"5932-68-3"	""	"yes"	""	""	""	""	
"(E)-3,7-dimethyl-2,6-octadienylhexadecanoate"	"421-370-3"	"3681-73-0"	""	"yes"	""	""	""	""	
"(E)-3-(2-chlorophenyl)-2-(4-fluorophenyl)propenal"	"410-980-5"	"112704-51-5"	""	"yes"	""	""	""	""	
"(E)-3-(4-(4-fluorophenyl)-5-methoxymethyl-2,6-bis(1-methoxymethyl)pyridin-3-yl)prop-2-enal"	"426-330-9"	"177964-68-0"	""	"yes"	""	""	""	""	
"(E)-3-[1-[4-[2-(dimethylamino)ethoxy]phenyl]-2-phenylbut-1-enyl]phenol"	"428-010-4"	"82413-20-5"	""	"yes"	""	"Annex 17 Appendix 6"	""	""	
"(E)-3-methyl-5-cyclopentadecen-1-one"	"429-900-5"	"101151-17-1"	""	"yes"	""	""	""	""	
"(E)-5[(4-chlorophenyl)methylene]-2,2-dimethylcyclopentanone"	"410-440-9"	"164058-20-2"	""	"yes"	""	""	""	""	
"(E)-but-2-ene"	"210-855-3"	"624-64-6"	""	"yes"	""	""	""	""	
"(E, Z)-4-chlorophenyl(cyclopropyl)ketone O-(4-nitrophenylmethyl)oxime"	"406-100-4"	"94097-88-8"	""	"yes"	""	""	""	""	
"(E,E)-3,7,11-trimethyldodeca-1,4,6,10-tetraen-3-ol"	"423-240-1"	"125474-34-2"	""	"yes"	""	""	""	""	
"(E-E)-3,3'-(1,4-phenylenedimethylidene)bis(2-oxobornane-10-sulfonic acid)"	"410-960-6"	"92761-26-7"	""	"yes"	""	""	""	""	
"(ethyl-1,2-ethanediyl)[-2-[[[(2-hydroxyethyl)methylamino]acetyl]-propyl]ω-(nonylphenoxy)poly]oxy-(methyl-1,2-ethanediyl)"	"418-960-8"	"-"	""	"yes"	""	""	""	""	
"(ethyl-3-oxobutanoato-O'1,O'3)(2-dimethylaminoethanolato)(1-methoxypropan-2-olato)aluminium(III), dimerised"	"402-370-2"	"149057-70-5"	""	"yes"	""	""	""	""	
"(isodecanoato-O)(isononanoato-O)nickel"	"284-348-0"	"84852-36-8"	""	"yes"	""	"Annex 17 Appendix 1; Annex 17 Appendix 6"	""	""	
"(isodecanoato-O)(isooctanoato-O)nickel"	"285-909-2"	"85166-19-4"	""	"yes"	""	"Annex 17 Appendix 1; Annex 17 Appendix 6"	""	""	
"(isononanoato-O)(isooctanoato-O)nickel"	"287-471-8"	"85508-46-9"	""	"yes"	""	"Annex 17 Appendix 1; Annex 17 Appendix 6"	""	""	
"(isononanoato-O)(neodecanoato-O)nickel"	"287-592-6"	"85551-28-6"	""	"yes"	""	"Annex 17 Appendix 1; Annex 17 Appendix 6"	""	""	
"(isooctanoato-O)(neodecanoato-O)nickel"	"284-347-5"	"84852-35-7"	""	"yes"	""	"Annex 17 Appendix 1; Annex 17 Appendix 6"	""	""	
"(methylenebis(4,1-phenylenazo(1-(3-(dimethylamino)propyl)-1,2-dihydro-6-hydroxy-4-methyl-2-oxopyridine-5,3-diyl)))-1,1'dipyridinium dichloride dihydrochloride"	"401-500-5"	"118658-99-4"	""	"yes"	""	"Annex 17 Appendix 2"	""	""	
"(N-benzyl-N, N,N-tributyl)ammonium 4-dodecylbenzenesulfonate"	"422-200-0"	"178277-55-9"	""	"yes"	""	""	""	""	
"(N-benzyl-N-ethyl)amino-3-hydroxyacetophenone hydrochloride"	"401-840-4"	"55845-90-4"	""	"yes"	""	""	""	""	
"(R)-1,2,3,4-tetrahydro-6,7-dimethoxy-1-veratrylisoquinoline hydrochloride"	"415-110-8"	"54417-53-7"	""	"yes"	""	""	""	""	
"(R)-1-cyclohexa-1,4-dienyl-1-methoxycarbonyl-methylammoniumchloride"	"444-320-2"	"-"	""	"yes"	""	""	""	""	
"(R)-2-(4-hydroxyphenoxy)propanoic acid"	"407-960-3"	"94050-90-5"	""	"yes"	""	""	""	""	
"(R)-3-[(1-methylpyrrolidin-2-yl)methyl]-5-[2-(phenylsulfonyl)ethenyl]-1H-indole"	"430-560-5"	"180637-89-2"	""	"yes"	""	""	""	""	
"(R)-4-(4-dimethylamino-1-(4-fluorophenyl)-1-hydroxybutyl)-3-(hydroxymethyl)benzonitrile"	"430-760-2"	"219861-18-4"	""	"yes"	""	""	""	""	
