Cosmetic Products Regulation, Annex IV - Allowed Colorants
Note: Group entries are split in different rows.
Export date: 23/02/2026 15:08:22
Header

"Substance Identifier"	""	



""	""	""	""	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Conditions"	"Conditions"	"Conditions"	"Conditions"	"Conditions"	""	
"Name"	"EC / List no"	"CAS no"	"Ref No."	"Name"	"EC Number"	"CAS"	"Colour Index (CI) Number"	"Colour"	"Physical form"	"Product type, body parts"	"Restriction(s)"	"Maximum Threshold"	"Expressed As"	"Function(s)"	"Notes"	
"2,7-Naphthalenedisulfonic acid, 3-((4-cyclohexyl-2-methylphenyl)azo)-4-hydroxy-5-(((4-methylphenyl)sulfonyl)amino)-, disodium salt"	"-"	"10236-37-0"	"39"	"2,7-Naphthalenedisulfonic acid, 3-((4-cyclohexyl-2-methylphenyl)azo)-4-hydroxy-5-(((4-methylphenyl)sulfonyl)amino)-, disodium salt"	""	"10236-37-0"	"18130"	"Red"	""	"Rinse-off products"	""	""	""	"Colorant"	""	
"2-(1,3-Dihydro-3-oxo-2H-indazol-2-ylidene)-1,2-dihydro-3H-indol-3-one"	"207-586-9"	"482-89-3"	"98"	"2-(1,3-Dihydro-3-oxo-2H-indazol-2-ylidene)-1,2-dihydro-3H-indol-3-one"	""	"482-89-3"	"73000"	"Blue"	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"2-[(4-Chloro-2-nitrophenyl)azo]-N-(2-chlorophenyl)-3-oxobutyramide"	"229-355-1"	"6486-23-3"	"5"	"2-[(4-Chloro-2-nitrophenyl)azo]-N-(2-chlorophenyl)-3-oxobutyramide"	""	"6486-23-3"	"11710"	"Yellow"	""	"All cosmetic products except those applied to mucous membranes"	"Not to be used in products applied to mucous membranes"	""	""	"Colorant"	""	
"2-[(4-Methoxy-2-nitrophenyl)azo]-3-oxo-N-(o-tolyl)butyramide"	"228-901-6"	"6371-96-6"	"6"	"2-[(4-Methoxy-2-nitrophenyl)azo]-3-oxo-N-(o-tolyl)butyramide"	""	"6371-96-6"	"11725"	"Orange"	""	"Rinse-off products"	""	""	""	"Colorant"	""	
"2-[(4-Methyl-2-nitrophenyl)azo]-3-oxo-N-phenylbutyramide"	"219-730-8"	"2512-29-0"	"4"	"2-[(4-Methyl-2-nitrophenyl)azo]-3-oxo-N-phenylbutyramide"	""	"2512-29-0"	"11680"	"Yellow"	""	"All cosmetic products except those applied to mucous membranes"	"Not to be used in products applied to mucous membranes"	""	""	"Colorant"	""	
"2-Amino-1,7-dihydro-6H-purin-6-one"	"200-799-8"	"73-40-5"	"113"	"2-Amino-1,7-dihydro-6H-purin-6-one"	""	"73-40-5"	"75170"	"White"	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"29H,31H-Phthalocyaninato(2-)-N29,N30,N31,N32 copper"	"205-685-1"	"147-14-8"	"105"	"29H,31H-Phthalocyaninato(2-)-N29,N30,N31,N32 copper"	""	"147-14-8"	"74160"	"Blue"	""	"All cosmetic products except when used as a substance in hair dye products"	""	""	""	"Colorant"	""	
"29H,31H-Phthalocyanine"	"209-378-3"	"574-93-6"	"104"	"29H,31H-Phthalocyanine"	""	"574-93-6"	"74100"	"Blue"	""	"Rinse-off products"	""	""	""	"Colorant"	""	
"3',6'-Dihydroxy-4',5'-dinitrospiro[isobenzofuran-1(3H),9'-[9H]xanthene]-3-one"	"246-308-0"	"24545-86-6"	"77"	"3&#39;,6&#39;-Dihydroxy-4&#39;,5&#39;-dinitrospiro[isobenzofuran-1(3H),9&#39;-[9H]xanthene]-3-one"	""	"24545-86-6"	"45396"	"Orange"	""	"Lip products"	"Only in free acid form, when used in lip products"	"1 %"	"As free acid"	"Colorant"	""	
"3',6'-Dihydroxy-4',5'-dinitrospiro[isobenzofuran-1(3H),9'-[9H]xanthene]-3-one"	"246-308-0"	"24545-86-6"	"77"	"3&#39;,6&#39;-Dihydroxy-4&#39;,5&#39;-dinitrospiro[isobenzofuran-1(3H),9&#39;-[9H]xanthene]-3-one"	""	"24545-86-6"	"45396"	"Orange"	""	"All cosmetic products except lip products"	""	""	""	"Colorant"	""	
"3,4,5,6-Tetrachloro-2-(1,4,5,8-tetrabromo-6-hydroxy-3-oxoxanthen-9-yl)benzoic acid"	"242-355-6"	"18472-87-2"	"79"	"3,4,5,6-Tetrachloro-2-(1,4,5,8-tetrabromo-6-hydroxy-3-oxoxanthen-9-yl)benzoic acid"	""	"18472-87-2"	"45410"	"Red"	""	"All cosmetic products"	"Not more than 1% 2-(6-hydroxy-3-oxo-3H-xanthen-9-yl) benzoic acid; Not more than 2 % 2-(bromo-6-hydroxy-3-oxo-3H-xanthen-9-yl) benzoic acid"	""	""	"Colorant"	""	
"3-Hydroxy-N-(o-tolyl)-4-[(2,4,5-trichlorophenyl)azo]naphthalene-2-carboxamide"	"229-440-3"	"6535-46-2"	"11"	"3-Hydroxy-N-(o-tolyl)-4-[(2,4,5-trichlorophenyl)azo]naphthalene-2-carboxamide"	""	"6535-46-2"	"12370"	"Red"	""	"Rinse-off products except when used as a substance in hair dye products"	""	""	""	"Colorant"	""	
"4',5'-Dibromo-3',6'-dihydroxyspiro[isobenzofuran-1(3H),9'-[9H]xanthene]-3-one"	"209-876-0"	"596-03-2"	"75"	"4&#39;,5&#39;-Dibromo-3&#39;,6&#39;-dihydroxyspiro[isobenzofuran-1(3H),9&#39;-[9H]xanthene]-3-one"	""	"596-03-2"	"45370"	"Orange"	""	"All cosmetic products except when used as a substance in hair dye products"	"Not more than 1% 2-(6-hydroxy-3-oxo-3H-xanthen-9-yl) benzoic acid; Not more than 2 % 2-(bromo-6-hydroxy-3-oxo-3H-xanthen-9-yl) benzoic acid"	""	""	"Colorant"	""	
"4-(Phenylazo)resorcinol"	"218-131-9"	"2051-85-6"	"7"	"4-(Phenylazo)resorcinol"	""	"2051-85-6"	"11920"	"Orange"	""	"All cosmetic products except when used as a substance in hair dye products"	""	""	""	"Colorant"	""	
"4-[(2,5-Dichlorophenyl)azo]-N-(2,5-dimethoxyphenyl)-3-hydroxynaphthalene-2-carboxamide"	"229-106-7"	"6410-40-8"	"13"	"4-[(2,5-Dichlorophenyl)azo]-N-(2,5-dimethoxyphenyl)-3-hydroxynaphthalene-2-carboxamide"	""	"6410-40-8"	"12480"	"Brown"	""	"Rinse-off products"	""	""	""	"Colorant"	""	
"4-[(4-Amino-m-tolyl)(4-imino-3-methylcyclohexa-2,5-dien-1-ylidene)methyl]-o-toluidine monohydrochloride"	"221-831-7"	"3248-91-7"	"67"	"4-[(4-Amino-m-tolyl)(4-imino-3-methylcyclohexa-2,5-dien-1-ylidene)methyl]-o-toluidine monohydrochloride"	""	"3248-91-7"	"42520"	"Violet"	""	"Rinse-off products"	""	"5 ppm"	""	"Colorant"	""	
"4-[(4-Ethoxyphenyl)azo]naphthol"	"229-439-8"	"6535-42-8"	"8"	"4-[(4-Ethoxyphenyl)azo]naphthol"	""	"6535-42-8"	"12010"	"Red"	""	"All cosmetic products except those applied to mucous membranes and when used as a substance in hair dye products"	"Not to be used in products applied to mucous membranes"	""	""	"Colorant"	""	
"5,12-Dihydro-2,9-dimethylquino[2,3-b]acridine-7,14-dione"	"213-561-3"	"980-26-7"	"103"	"5,12-Dihydro-2,9-dimethylquino[2,3-b]acridine-7,14-dione"	""	"980-26-7"	"73915"	"Red"	""	"Rinse-off products"	""	""	""	"Colorant"	""	
"5,12-Dihydroquino[2,3-b]acridine-7,14-dione"	"213-879-2"	"1047-16-1"	"102"	"5,12-Dihydroquino[2,3-b]acridine-7,14-dione"	""	"1047-16-1"	"73900"	"Violet"	""	"Rinse-off products except when used as a substance in hair dye products"	""	""	""	"Colorant"	""	
"5-Chloro-2-(5-chloro-7-methyl-3-oxobenzo[b]thien-2(3H)-ylidene)-7-methylbenzo[b]thiophene-3(2H)-one"	"226-750-0"	"5462-29-3"	"101"	"5-Chloro-2-(5-chloro-7-methyl-3-oxobenzo[b]thien-2(3H)-ylidene)-7-methylbenzo[b]thiophene-3(2H)-one"	""	"5462-29-3"	"73385"	"Violet"	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"6,15-Dihydroanthrazine-5,9,14,18-tetrone"	"201-375-5"	"81-77-6"	"95"	"6,15-Dihydroanthrazine-5,9,14,18-tetrone"	""	"81-77-6"	"69800"	"Blue"	""	"All cosmetic products"	""	""	""	"Colorant"	""	
